date,price
2026-06-25 07:29:59.080,61715.47063904907
2026-06-25 07:34:57.526,61750.96823532832
2026-06-25 07:39:58.113,61797.24734416505
2026-06-25 07:44:57.952,61823.24170995508
2026-06-25 07:49:59.416,61780.13048017299
2026-06-25 07:54:59.150,61774.49580999848
2026-06-25 07:59:57.944,61816.442509036395
2026-06-25 08:04:59.643,61771.071086781114
2026-06-25 08:09:57.782,61693.77814065322
2026-06-25 08:14:59.701,61704.21554390366
2026-06-25 08:19:48.366,61662.092642769174
2026-06-25 08:24:58.007,61645.16677237218
2026-06-25 08:29:57.249,61672.76144323743
2026-06-25 08:34:58.447,61650.90073464368
2026-06-25 08:39:57.539,61636.64292109271
2026-06-25 08:44:57.190,61654.21203285044
2026-06-25 08:49:58.691,61692.97021903891
2026-06-25 08:54:57.903,61691.97690823836
2026-06-25 09:00:02.564,61606.905269718525
2026-06-25 09:04:57.742,61618.81311807633
2026-06-25 09:09:59.870,61659.100761527676
2026-06-25 09:14:50.949,61680.803334093085
2026-06-25 09:19:57.622,61646.13391857508
2026-06-25 09:24:58.988,61583.00079910131
2026-06-25 09:29:59.102,61615.644950867034
2026-06-25 09:34:56.572,61649.46556850551
2026-06-25 09:39:58.253,61666.36146110789
2026-06-25 09:44:58.196,61677.41752889785
2026-06-25 09:49:58.649,61668.97273166192
2026-06-25 09:54:57.595,61656.976595358254
2026-06-25 09:59:52.434,61652.90431812403
2026-06-25 10:04:57.251,61647.61780197021
2026-06-25 10:09:55.387,61594.880769349504
2026-06-25 10:14:58.835,61588.40849707556
2026-06-25 10:19:57.549,61625.42647548655
2026-06-25 10:24:58.373,61520.11336317647
2026-06-25 10:29:57.160,61492.68449960942
2026-06-25 10:34:57.182,61478.4818087207
2026-06-25 10:39:57.117,61458.73455929339
2026-06-25 10:44:56.712,61374.08231458544
2026-06-25 10:49:59.706,61280.09295924242
2026-06-25 10:54:51.399,61272.434168397886
2026-06-25 11:00:00.741,61211.78155908992
2026-06-25 11:04:57.058,61120.114716450575
2026-06-25 11:09:59.536,61013.43747283875
2026-06-25 11:14:57.753,61109.293882320104
2026-06-25 11:19:54.419,61261.98703911858
2026-06-25 11:24:56.571,61195.7191082778
2026-06-25 11:29:58.736,61180.26546587937
2026-06-25 11:34:58.087,61185.77281082974
2026-06-25 11:39:57.671,61234.455747533095
2026-06-25 11:44:52.074,61248.0253993078
2026-06-25 11:49:58.714,61142.036710990746
2026-06-25 11:54:56.852,61094.15358070211
2026-06-25 12:00:02.387,61185.54992485836
2026-06-25 12:04:58.754,61155.34614829614
2026-06-25 12:09:59.734,61164.53077881966
2026-06-25 12:14:58.162,61115.20974914264
2026-06-25 12:19:55.808,61090.552417878615
2026-06-25 12:24:57.083,61111.12060077462
2026-06-25 12:29:58.867,61009.56096074787
2026-06-25 12:34:57.647,61263.61321126857
2026-06-25 12:39:56.712,61320.64998110699
2026-06-25 12:44:57.121,61272.347090821706
2026-06-25 12:49:59.879,61295.35656249993
2026-06-25 12:54:58.240,61251.84504426171
2026-06-25 12:59:58.209,61114.65746062846
2026-06-25 13:04:56.475,61183.967665201206
2026-06-25 13:09:58.514,61097.0976724459
2026-06-25 13:14:57.406,61222.77423985877
2026-06-25 13:19:51.711,61227.96603248297
2026-06-25 13:24:57.984,61169.15621364854
2026-06-25 13:29:59.341,61143.73873622444
2026-06-25 13:34:57.976,60977.93836220124
2026-06-25 13:39:58.330,60724.167619981046
2026-06-25 13:44:57.042,60193.17325680015
2026-06-25 13:49:58.295,59380.23873827446
2026-06-25 13:54:58.733,58845.945894480945
2026-06-25 13:59:59.244,58188.668886715604
2026-06-25 14:04:58.220,58888.12345582394
2026-06-25 14:09:58.349,59273.79952589329
2026-06-25 14:14:59.963,59351.54506577818
2026-06-25 14:19:53.995,58898.59665750968
2026-06-25 14:24:57.845,59336.70308239242
2026-06-25 14:29:58.049,59279.562700477996
2026-06-25 14:34:58.439,59989.78896578296
2026-06-25 14:39:57.481,59627.940129715826
2026-06-25 14:44:56.902,59385.26896518957
2026-06-25 14:49:56.008,59380.1296741303
2026-06-25 14:54:57.311,59539.63951710371
2026-06-25 14:59:58.673,59419.45155775679
2026-06-25 15:04:57.869,59063.440234897
2026-06-25 15:09:56.042,59215.25312836895
2026-06-25 15:14:56.675,59009.01910264449
2026-06-25 15:19:58.878,59147.96730514003
